Theft of Trade Secrets Is on the Rise;<img src="img_theft_of_trade_secrets_is_on_the_rise.jpg">;[sound:word_theft_of_trade_secrets_is_on_the_rise.mp3];[sound:meaning_theft_of_trade_secrets_is_on_the_rise.mp3];[sound:example_theft_of_trade_secrets_is_on_the_rise.mp3];The stealing of secret business information is happening more often.;The report says theft of trade secrets is on the rise in tech companies.;/θeft əv treɪd ˈsiːkrəts ɪz ɒn ðə raɪz/
convicted;<img src="img_convicted.jpg">;[sound:word_convicted.mp3];[sound:meaning_convicted.mp3];[sound:example_convicted.mp3];Found guilty of a crime in court.;He was convicted of fraud last year.;/kənˈvɪktɪd/
charges;<img src="img_charges.jpg">;[sound:word_charges.mp3];[sound:meaning_charges.mp3];[sound:example_charges.mp3];Official accusations of crimes.;The prosecutor dropped two charges due to weak evidence.;/ˈtʃɑːrdʒɪz/
heists;<img src="img_heists.jpg">;[sound:word_heists.mp3];[sound:meaning_heists.mp3];[sound:example_heists.mp3];Large, planned robberies.;The movie is about bank heists in the city.;/haɪsts/
tightening;<img src="img_tightening.jpg">;[sound:word_tightening.mp3];[sound:meaning_tightening.mp3];[sound:example_tightening.mp3];Making something stricter or harder to do.;The company is tightening security rules.;/ˈtaɪtənɪŋ/
further;<img src="img_further.jpg">;[sound:word_further.mp3];[sound:meaning_further.mp3];[sound:example_further.mp3];More, or to a greater degree.;We need further details before we decide.;/ˈfɜːrðər/
Those;<img src="img_those.jpg">;[sound:word_those.mp3];[sound:meaning_those.mp3];[sound:example_those.mp3];Used to point to specific people or things.;Those documents are confidential.;/ðoʊz/
constrained;<img src="img_constrained.jpg">;[sound:word_constrained.mp3];[sound:meaning_constrained.mp3];[sound:example_constrained.mp3];Limited by rules, time, or resources.;We were constrained by a tight budget.;/kənˈstreɪnd/
brought;<img src="img_brought.jpg">;[sound:word_brought.mp3];[sound:meaning_brought.mp3];[sound:example_brought.mp3];Carried or caused something to happen.;She brought the files to the meeting.;/brɔːt/
sued;<img src="img_sued.jpg">;[sound:word_sued.mp3];[sound:meaning_sued.mp3];[sound:example_sued.mp3];Took legal action against someone.;The firm sued a competitor for copying its design.;/suːd/
suing;<img src="img_suing.jpg">;[sound:word_suing.mp3];[sound:meaning_suing.mp3];[sound:example_suing.mp3];Taking legal action against someone.;They are suing the supplier for damages.;/ˈsuːɪŋ/
allegedly;<img src="img_allegedly_2.jpg">;[sound:word_allegedly_2.mp3];[sound:meaning_allegedly_2.mp3];[sound:example_allegedly_2.mp3];According to what is said, but not confirmed.;The data was allegedly taken from a private server.;/əˈledʒɪdli/
disposal;<img src="img_disposal.jpg">;[sound:word_disposal.mp3];[sound:meaning_disposal.mp3];[sound:example_disposal.mp3];The act of getting rid of something.;Safe disposal of old laptops is important.;/dɪˈspoʊzəl/
lawsuit;<img src="img_lawsuit.jpg">;[sound:word_lawsuit.mp3];[sound:meaning_lawsuit.mp3];[sound:example_lawsuit.mp3];A legal case brought to court.;The lawsuit claims the contract was broken.;/ˈlɔːsuːt/
alleging;<img src="img_alleging.jpg">;[sound:word_alleging.mp3];[sound:meaning_alleging.mp3];[sound:example_alleging.mp3];Saying something happened without proof yet.;She filed a report alleging harassment.;/əˈledʒɪŋ/
apprehended;<img src="img_apprehended.jpg">;[sound:word_apprehended.mp3];[sound:meaning_apprehended.mp3];[sound:example_apprehended.mp3];Caught by the police.;The suspect was apprehended near the border.;/ˌæprɪˈhendɪd/
convicted;<img src="img_convicted_2.jpg">;[sound:word_convicted_2.mp3];[sound:meaning_convicted_2.mp3];[sound:example_convicted_2.mp3];Declared guilty by a judge or jury.;Two people were convicted after the trial.;/kənˈvɪktɪd/
had pleaded not guilty;<img src="img_had_pleaded_not_guilty.jpg">;[sound:word_had_pleaded_not_guilty.mp3];[sound:meaning_had_pleaded_not_guilty.mp3];[sound:example_had_pleaded_not_guilty.mp3];Said in court that you are not guilty.;He had pleaded not guilty at his first hearing.;/hæd ˈpliːdɪd nɑːt ˈɡɪlti/
intends;<img src="img_intends.jpg">;[sound:word_intends.mp3];[sound:meaning_intends.mp3];[sound:example_intends.mp3];Plans or means to do something.;She intends to appeal the decision.;/ɪnˈtendz/
